generation,best_total_travel,median_total_travel,worst_total_travel,feasible_ratio,avg_lateness,avg_used_routes,min_used_routes,max_used_routes,avg_route_duration,avg_route_travel,avg_capacity_utilization,avg_capacity_slack,min_capacity_slack,avg_depot_slack,min_depot_slack,avg_wait_time,avg_timewindow_slack,min_timewindow_slack,edge_diversity,edge_entropy,crossover_success_rate,mutation_success_rate
0,1035.623749,1548.946893,2002.315288,1.000000,0.000000,11.532000,10,14,1016.567616,135.137795,0.784773,43.045439,0.000000,219.432384,0.272649,11.646487,114.781096,0.000000,0.038787,0.787367,NaN,NaN
1,1006.006692,1472.653046,2085.805218,1.000000,0.000000,11.404000,10,13,1012.046095,129.458817,0.793581,41.283760,0.000000,223.953905,0.300927,10.650253,125.335670,0.000000,0.048670,0.771795,0.191441,0.768421
2,1004.918537,1392.792761,1875.245871,1.000000,0.000000,11.250000,10,13,1010.698831,124.597462,0.804444,39.111111,0.000000,225.301169,0.195378,9.686404,130.030219,0.000000,0.047263,0.768716,0.219239,0.679775
3,1004.918537,1335.550787,1745.574646,1.000000,0.000000,11.126000,10,14,1009.278905,120.654403,0.813410,37.317994,0.000000,226.721095,0.287420,8.868362,131.448420,0.000000,0.045840,0.761650,0.164080,0.593750
4,978.318211,1262.235769,1730.029769,1.000000,0.000000,10.934000,10,13,1008.827276,116.016054,0.827693,34.461313,0.000000,227.172724,0.168510,7.619979,132.098198,0.000000,0.040997,0.754632,0.264501,0.511628
5,978.318211,1205.573512,1614.424459,1.000000,0.000000,10.788000,10,13,1010.013710,112.547288,0.838895,32.220986,0.000000,225.986290,0.168510,6.818678,132.269838,0.000000,0.036809,0.751592,0.194131,0.575758
6,956.330683,1172.092661,1522.870105,1.000000,0.000000,10.668000,10,12,1014.143226,110.242545,0.848331,30.333708,0.000000,221.856774,0.889892,6.428125,130.846583,0.000000,0.034084,0.749746,0.183036,0.564972
7,906.270254,1138.578800,1510.225992,1.000000,0.000000,10.576000,10,12,1016.477287,108.968915,0.855711,28.857791,0.000000,219.522713,0.301465,5.978085,130.990335,0.000000,0.032050,0.748162,0.167411,0.553073
8,889.361705,1115.850807,1470.055191,1.000000,0.000000,10.422000,10,12,1023.449224,108.141020,0.868355,26.328920,0.000000,212.550776,0.302197,5.393421,130.657869,0.006748,0.030646,0.744738,0.186253,0.546512
9,868.254303,1099.881045,1456.679138,1.000000,0.000000,10.386000,10,12,1023.122527,107.029577,0.871365,25.726940,0.000000,212.877473,0.195378,5.145414,131.608817,0.006748,0.029062,0.745969,0.176856,0.484043
10,842.406488,1071.244926,1475.786992,1.000000,0.000000,10.328000,10,12,1024.118956,105.079397,0.876259,24.748257,0.000000,211.881044,0.195378,4.918406,132.491395,0.006748,0.027518,0.745368,0.185682,0.450292
11,842.406488,1054.221897,1527.829777,1.000000,0.000000,10.280000,10,12,1022.173031,103.270511,0.880350,23.929961,0.000000,213.826969,0.439246,4.463179,134.944095,0.000000,0.024664,0.749443,0.134658,0.491329
