generation,best_total_travel,median_total_travel,worst_total_travel,feasible_ratio
0,1790.687015,2092.086258,2375.656526,1.000000
1,1698.156118,1956.785840,2233.384439,1.000000
2,1608.462783,1817.183327,2123.024683,1.000000
3,1467.481406,1745.812788,2007.536061,1.000000
4,1459.172519,1696.830452,1950.477079,1.000000
5,1440.802668,1610.888741,1826.281102,1.000000
6,1400.305466,1553.102662,1838.582490,1.000000
7,1331.112673,1515.667228,1726.720421,1.000000
8,1329.208933,1473.074441,1764.108988,1.000000
9,1325.250091,1407.978076,1670.632173,1.000000
10,1308.357396,1424.148952,1656.901166,1.000000
11,1286.664611,1401.595519,1574.526193,1.000000
12,1263.305024,1387.325543,1609.635187,1.000000
13,1262.871747,1365.594671,1575.356444,1.000000
14,1246.443788,1345.468874,1632.042546,1.000000
15,1219.634876,1329.003231,1602.129217,1.000000
16,1206.614260,1281.470388,1574.878765,1.000000
17,1206.614260,1282.357540,1520.672474,1.000000
18,1188.789794,1247.965391,1534.409493,1.000000
19,1175.717724,1229.936090,1435.927699,1.000000
20,1170.053497,1206.592235,1422.802675,1.000000
21,1160.210183,1211.504871,1506.264834,1.000000
22,1158.017296,1208.671142,1412.698983,1.000000
23,1141.080799,1202.070918,1398.171699,1.000000
24,1139.871988,1200.384772,1525.932777,1.000000
25,1138.908905,1180.203902,1483.970348,1.000000
26,1138.908905,1184.769547,1349.121705,1.000000
27,1138.908905,1164.995024,1379.986630,1.000000
28,1137.681414,1164.995024,1364.528416,1.000000
29,1137.681414,1180.265452,1427.018420,1.000000
30,1137.681414,1141.080799,1356.665003,1.000000
31,1137.681414,1147.928809,1399.142194,1.000000
32,1137.208278,1180.745115,1399.225801,1.000000
33,1137.208278,1187.939279,1390.299835,1.000000
34,1137.208278,1176.240605,1421.929331,1.000000
35,1137.208278,1141.527998,1344.602204,1.000000
36,1136.384380,1139.352708,1407.705690,1.000000
37,1136.384380,1137.714388,1318.329024,1.000000
38,1136.384380,1137.681414,1415.344765,1.000000
39,1136.384380,1138.907785,1329.016499,1.000000
40,1135.041982,1138.495836,1346.161301,1.000000
41,1135.041982,1154.782896,1484.974410,1.000000
42,1135.041982,1138.495836,1343.270489,1.000000
43,1135.041982,1138.095667,1307.377255,1.000000
